uri,dataUpdated,units,sourceLink,initialPeriod,lastPeriod,sourceLabel,periodicity,referenceArea
http://www.icane.es/data/historical-data/society/labour-market/registered-unemployment-municipalities-1984-2000,, Parados: Número.,,1894,1999,Paro y colocaciones. Instituto Nacional de Empleo. Dirección Provincial,Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/1979-2000-registered-unemployment,, Parados: Número de personas (media anual).,http://www.inem.es,1979,1998,Paro y colocaciones. Medias Anuales. Instituto Nacional de Empleo (INEM),Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/demands-work-placements-1942-2000,, Número.,http://www.ine.es,1942,2000,Paro y colocaciones. Reseña Estadística de la Provincia de Santander 1954 [1948-1951]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/territory-environment/environment/climatology-annual-data,, Precipitación Total: Milímetros; Presión barométrica Media: Milibares; Humedad media: Porcentaje; Días con más de 25 grados: Grados centígrados; Días Cubiertos: Número de días; Horas de sol: Número de horas de sol; Dirección de viento en tierra: Km/h.,,1919,2000,Climatología. Instituto Nacional de Meteorología,Anual,Regional
http://www.icane.es/data/historical-data/population/population-figures/census-municipalities-cantabria-1842,," Población de derecho, Población de hecho: Número de personas.",http://www.ine.es,1842,2001,Cifras y Censos. Series Históricas de Población. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/historical-data/population/population-figures/census-population-right-1857-2001,, Personas: Número.,http://www.ine.es,1857,2001,Cifras y Censos. Instituto Nacional de Estadística (INE),Decenal,Regional
http://www.icane.es/data/historical-data/population/population-figures/census-households-1857-2001,, Hogares: Número de hogares.,http://www.ine.es,1857,2001,Cifras y Censos. Instituto Nacional de Estadística (INE),Decenal,Regional
http://www.icane.es/data/historical-data/population/population-figures/census-population-age-1900-2001,, Personas: Número.,http://www.ine.es,1900,2001,Cifras y Censos. Instituto Nacional de Estadística (INE),Decenal,Regional
http://www.icane.es/data/historical-data/society/labour-market/all-workers-affiliated-social-security-regimes-1988-2000,, Trabajadores: Número de personas.,,1988,2000,Afiliación a la Seguridad Social. Afiliación de Trabajadores al Sistema de la Seguridad Social. Gobierno de España. Ministerio de Trabajo,Anual,Regional
http://www.icane.es/data/historical-data/population/population-figures/census-population-distribution-nucleus-size-1787-2001,, Personas: Número de habitantes.,http://www.bbva.es,1787,2001,Cifras y Censos. Estadísticas Históricas de España. Siglos XIX-XX. Banco de Bilbao Vizcaya Argentaria (BBVA),--,Regional
http://www.icane.es/data/historical-data/population/population-figures/census-urban-population-1787-2001,, Porcentaje pobl. urbana: Porcentaje de población; Total urbana: Número de habitantes.,http://www.bbva.es,1787,2001,Cifras y Censos. Estadísticas Históricas de España. Siglos XIX-XX. Banco de Bilbao Vizcaya Argentaria (BBVA),--,Regional
http://www.icane.es/data/historical-data/society/labour-market/16-more-years-population-sex-ratio-with-activity-1976-2000,, Miles de personas.,http://www.ine.es,1976,2000,Encuesta de Población Activa (EPA). Metodología EPA 2002. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/population-age-group-16-but-years-1976-2000-relation-to-activity,, Miles de personas.,http://www.ine.es,1976,2000,Encuesta de Población Activa (EPA). Metodología EPA 2002. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/economic-sector-assets-stood-1976-2000,," Activos, Parados: Miles de personas.",http://www.ine.es,1976,2000,Encuesta de Población Activa (EPA). Metodología EPA 2002. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/active-age-group-unemployed-1976-2000,," Activos, Parados: Miles de personas.",http://www.ine.es,1976,2000,Encuesta de Población Activa (EPA). Metodología EPA 2002. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/economic-sector-occupied-1976-2000-sex,, Miles de personas.,http://www.ine.es,1976,2000,Encuesta de Población Activa (EPA). Metodología EPA 2002. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/age-groups-busy-economic-sector-1976-2000,, Miles de personas.,http://www.ine.es,1976,2000,Encuesta de Población Activa (EPA). Metodología EPA 2002. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/sex-unemployed-1976-2000,, Miles de personas.,http://www.ine.es,1976,2000,Encuesta de Población Activa (EPA). Metodología EPA 2002. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/1976-2000-unemployed-job-search-time,, Miles de personas.,http://www.ine.es,1976,2000,Encuesta de Población Activa (EPA). Metodología EPA 2002. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/activity-rate-unemployment-rate-employment-rate-sex-1976-2000,, .,http://www.ine.es,1976,2000,Encuesta de Población Activa (EPA). Metodología EPA 2002. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/childbirths-multiplicity-maturity-1900-2000,, Partos: Número.,http://www.ine.es,1900,2000,Movimiento Natural de Población (MNP). Reseña Estadística de 1954 [1900-1951]; Reseña Estadística de 1976 [1969-1974]; Movimiento Natural de Población [1975-2000]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/childbirths-abortions-1900-2000,, Número.,http://www.ine.es,1900,2000,Movimiento Natural de Población (MNP). Reseña Estadística de 1954 [1900-1951]; Reseña Estadística de 1976 [1969-1974]; Movimiento Natural de Población [1975-2000]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/births-mothers-resident-legitimacy-stillborn-1858-2000,, Nacimientos: Nacimientos.,http://www.ine.es,1858,2001,Movimiento Natural de Población (MNP). Anuario Estadístico de España 1959/60 [1858-1863]; Anuario Estadístico de España 1866/67 [1864-1867]; Anuario Estadístico de España 1888 [1878-1884]; Reseña Estadística de 1954 [1900-1951]; [1952-1968]; Reseña Estadística de 1976 [1969]; Movimiento Natural de la Población [1970-2000]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/births-mothers-resident-legitimacy-stillborn-quinquennial-1860-1999,, Nacimientos: Nacimientos.,http://www.ine.es,1860,1999,Movimiento Natural de Población (MNP). Anuario Estadístico de España 1959/60 [1860-1863]; Anuario Estadístico de España 1866/67 [1864-1867]; Anuario Estadístico de España 1888 [1878-1884]; Reseña Estadística de 1954 [1900-1951]; Movimiento Natural de la Población [1952-1968] y [1970-2000]; Reseña Estadística de 1976 [1969]. Instituto Nacional de Estadística (INE),Quinquenal,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/births-mothers-resident-gender-1941-2000,, Nacimientos: Nacimientos.,http://www.ine.es,1941,2000,Movimiento Natural de Población (MNP). Reseña Estadística de 1954 [1900-1951]; Movimiento Natural de la Población [1952-1968] y [1970-2000]; Reseña Estadística de 1976 [1969]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/births-mothers-resident-civil-status-1941-2000,, Nacimientos: Nacimientos.,http://www.ine.es,1941,2000,Movimiento Natural de Población (MNP). Reseña Estadística de 1954 [1900-1951]; Reseña Estadística de 1976 [1969]; Movimiento Natural de Población [1952-1968] y [1970-2000]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/births-mothers-resident-gender-age-group-1965-2000,, Nacimientos: Nacimientos.,http://www.ine.es,1965,2000,Movimiento Natural de Población (MNP). Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/births-mothers-resident-total-1858-1882,, Total Nacimientos: Nacimientos.,,1858,1882,,Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/births-mothers-resident-quinquennial-1860-1999,, Total Nacimientos: Nacimientos.,http://www.ine.es,1860,1999,Movimiento Natural de Población (MNP). Anuario Estadístico de España 1959/60 [1860-1863]; Anuario Estadístico de España 1866/67 [1864-1867]; Anuario Estadístico de España 1888 [1878-1884]; Reseña Estadística de 1954 [1900-1951]; Movimiento Natural de la Población [1952-1968] y [1970-2000]; Reseña Estadística de 1976 [1969]. Instituto Nacional de Estadística (INE),Quinquenal,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/marriages-residents-1900-2000,, Matrimonios: Matrimonios.,http://www.ine.es,1900,2000,Movimiento Natural de Población (MNP). Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/marriages-age-group-gender-1937-2000,, Matrimonios: Matrimonios.,http://www.ine.es,1937,2000,Movimiento Natural de Población (MNP). Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/labour-market/work-accidents-1931-2000,, Accidentes: Personas.,http://www.ine.es,1931,2000,Accidentes de trabajo. Anuarios Estadísticos de España. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/deaths-gender-1900-2000,, Defunciones: Número.,http://www.ine.es,1900,2000,Movimiento Natural de Población (MNP). Reseña Estadística 1954 [1900-1931]; Movimiento Natural de Población [1932-]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-balance/deaths-residents-age-group-gender-1960-2000,, Defunciones: Número.,http://www.ine.es,1960,2000,Movimiento Natural de Población (MNP). Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/society/education/students-primary-gender-center-1908-2000,, Alumnos: Número de alumnos.,,1908,2000,Educación infantil y primaria. Estadística de la enseñanza en España. No consta,Anual,Regional
http://www.icane.es/data/historical-data/society/education/students-primary-gender-1830-2000,, Alumnos: Número de alumnos.,,1830,2000,Educación infantil y primaria. Estadística de la enseñanza en España. No consta,Anual,Regional
http://www.icane.es/data/historical-data/society/education/students-primary-public-schools-1830-2000,, Alumnos: Número de alumnos.,,1830-1831,1999-2000,Educación infantil y primaria. Estadística de la enseñanza en España. No consta,Anual,Regional
http://www.icane.es/data/historical-data/society/education/primary-education-centers-1830-1988,, Centros: Número.,,1830-1831,1999-2000,Educación infantil y primaria. Estadística de la enseñanza en España. No consta,Anual,Regional
http://www.icane.es/data/historical-data/society/education/primary-education-teachers-gender-1844-1985,, Profesores: Número.,,1830-1831,1999-2000,Educación infantil y primaria. Estadística de la enseñanza en España. No consta,Anual,Regional
http://www.icane.es/data/historical-data/society/education/students-enrolled-infant-preschool,, Alumnos: Número.,http://www.ine.es,1968-1969,1999-2000,Educación infantil y primaria. Anuarios Estadísticos de España. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-analysis/natural-balance-1900-2000,, Saldo Vegetativo: Nacimientos menos defunciones (por mil habitantes).,http://www.ine.es,1900,2000,Indicadores demográficos básicos. Reseña Estadística de Cantabria [1900-1950]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-analysis/mortality-1900-2000,, Mortalidad infantil por mil nacidos: Menores de 1 año por mil nacidos; Tasa bruta mortalidad por 1.000 hab.: Defunciones por mil habitantes; Esperanza de vida al nacimiento: Años.,http://www.ine.es,1900,2000,Indicadores demográficos básicos. Reseña Estadística de Cantabria [1900-1950]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/historical-data/population/demographic-analysis/natality-fertility-1900-2000,, Tasa global de fecundidad: Nacidos por 1000 mujeres de 15 a 49 años; Porcentaje de nacidos de madre no casada: Nacidos de madre no casada por 100 nacidos; Tasa bruta de natalidad: Nacidos por 1000 habitantes; Edad media a la maternidad: Años.,http://www.ine.es,1900,2000,Indicadores demográficos básicos. Reseña Estadística de Cantabria [1900-1950]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]; Monografías MNP [1951-1974]; Indicadores Demográficos Básicos [1975-2000]. Instituto Nacional de Estadística (INE),Anual,Regional
