uri,dataUpdated,units,sourceLink,initialPeriod,lastPeriod,sourceLabel,periodicity,referenceArea
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-real-estate-tax-urban,," Año última valoración: año, miles de euros, miles de euroseuros, euros, , unidades, entidad, ?; Número de recibos: número.",http://www.catastro.meh.es,2004,2005,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Anual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-real-estate-tax-ordinances-rate-type,," Urbana, Tipos diferenciados urbana, Rústica, Bice grupo A, Bice grupo B, Bice grupo C, Bice grupo D: %.",http://www.catastro.meh.es,2006,2011,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Anual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-land-surface-parcel-type,, Miles de m2.,http://www.catastro.meh.es,2004,2005,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Anual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-lots-parcels-built-land-surface,, Parcelas: Nº.,http://www.catastro.meh.es,2004,2005,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Anual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-parcels-type,, Parcelas catastrales: Nº.,http://www.catastro.meh.es,2004,2005,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Anual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-other-stats-2007-constructions-antiquity-municipality,, Construcciones: Número.,http://www.catastro.meh.es,2007,2007,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Anual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-other-stats-2007-distribution-uses-municipality-period-2007,, Bienes inmuebles: Nº.,http://www.catastro.meh.es,2007,2007,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Anual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-other-stats-2007-vacant-land-municipality-period-2007,," Superficie, Superficie catastrada urbana: Hectáreas (has.); Superficie media, Porcentaje %: %; Bienes Inmuebles: Nº.",http://www.catastro.meh.es,2007,2007,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Anual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-other-stats-constructions-antiquity-municipality-monthly,2013-04-09, .,http://www.catastro.meh.es/esp/estadisticas.asp,Agosto 2008,2013,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Mensual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-other-stats-categories-municipality-period-monthly,2013-04-09, .,http://www.catastro.meh.es/esp/estadisticas.asp,Enero 2009,2013,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Mensual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-other-stats-distribution-uses-municipality-period-monthly,2013-04-09, .,http://www.catastro.meh.es/esp/estadisticas.asp,Agosto 2008,2013,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Mensual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/cadastre-other-stats-vacant-land-municipality-period-monthly,2013-04-09, .,http://www.catastro.meh.es/esp/estadisticas.asp,Agosto 2008,2013,Catastro. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas. Dirección General del Catastro,Mensual,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/infrastructures-roads-type,, Longitud: km.,http://www.mpt.gob.es,2005,2009,Infraestructuras. Encuesta de Infraestructuras y Equipamientos Locales. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas,Trienal,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/infrastructures-roads-condition,, Longitud: km.,http://www.mpt.gob.es,2005,2009,Infraestructuras. Encuesta de Infraestructuras y Equipamientos Locales. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas,Trienal,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/infrastructures-water-uptake-distribution-sanitation,, Infraestructura: Número.,http://www.mpt.gob.es,2005,2009,Infraestructuras. Encuesta de Infraestructuras y Equipamientos Locales. Gobierno de España. Ministerio de Hacienda y Administraciones Públicas,Trienal,Municipal
http://www.icane.es/data/municipal-data/economy/primary-sector/agrarian-census-farming-general-data,, Explotaciones: Número.,http://www.ine.es,1999,1999,Censo agrario. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/economy/primary-sector/agrarian-census-cattle-bovine-ovine,, Cabezas de ganado: Número.,http://www.ine.es,1999,1999,Censo agrario. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/economy/primary-sector/agrarian-census-cattle-species,, Cabezas de Ganado: Número.,http://www.ine.es,1999,1999,Censo agrario. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/economy/primary-sector/agrarian-census-farms-surface,, Explotaciones: Hectáreas.,http://www.ine.es,1999,1999,Censo agrario. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/economy/primary-sector/agrarian-census-farms-aus-surface,, Explotaciones: Hectáreas.,http://www.ine.es,1999,1999,Censo agrario. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/economy/primary-sector/agrarian-census-farms-economic-technical-orientation,, Explotaciones: Número.,http://www.ine.es,1999,1999,Censo agrario. Instituto Nacional de Estadística (INE),Decenal,Municipal
